,제목,URL
0,"챗봇, 개념만 이해하기",https://www.youtube.com/watch?v=g_z4WAi6p20&pp=ygUG7LGX67SH
1,"[FULL] 요즘 AI 트렌드는 OO이에요! (김덕진 소장, 서승완 대표)",https://www.youtube.com/watch?v=aOiQ54prBig&t=659s&pp=ygUG7LGX67SH
2,"챗GPT 어렵다구요..? 챗GPT (ChatGPT) 사용법 4분만에 배우기(회원가입, 질문방법, 번역하기 등) #chatGPT #챗GPT #사용법",https://www.youtube.com/watch?v=xAUuLECuyd0&pp=ygUG7LGX67SH
3,"[챗GPT] 이보다 쉬운 설명은 없다 '챗GPT' (홍진경,안될과학,궤도, eng)",https://www.youtube.com/watch?v=i1VqqX4iAZ0&pp=ygUG7LGX67SH
4,파이썬으로 나만의 AI 챗봇 만들기,https://www.youtube.com/watch?v=s6rX8LLgTFQ&pp=ygUG7LGX67SH
5,[에디터픽] “인생 끝났네요” 개발자들 한숨...AI 챗봇의 놀라운 능력 / YTN,https://www.youtube.com/watch?v=BoiKHKx0IWY&pp=ygUG7LGX67SH
6,[아무튼 출근] AI 로봇의 선생님🤖 정답률 100%를 꿈꾸는 챗봇 서비스 기획자 정다은!ㅣ#챗봇서비스기획자 #정다은 MBC210608방송,https://www.youtube.com/watch?v=k-iMo7TSSPM&pp=ygUG7LGX67SH
7,ChatGPT A부터 Z까지 모든 걸 5분만에 알려드립니다 (개념/원리/사용법/적용분야),https://www.youtube.com/watch?v=hHvZ7Cka7v0&pp=ygUG7LGX67SH
8,[강의 미리보기] ChatGPT로 진짜같은 챗봇 만드는 법! GPTs Knowledge 기능 1000% 활용하기!,https://www.youtube.com/watch?v=tPBWrHyu67s&pp=ygUG7LGX67SH
9,챗GPT와 대화가 즐거운이유(안부부터 물어보는 따뜻한 친구 오늘 기분이 어때?),https://www.youtube.com/shorts/GC25Q3quvho
10,챗GPT 너 뭐 돼? 허점 찾아냈습니다😎 만능 챗봇 4분 만에 완벽 파악하기 | [차이나는 시사&] 8회,https://www.youtube.com/watch?v=I1D2Psx1A2w&pp=ygUG7LGX67SH
11,[속보] GPT-4o (OpenAI) GPTS 모두 무료!!! 오픈! 50+ GPTS 챗봇 좌표! 이 영상으로 지금 확인하세요!,https://www.youtube.com/watch?v=d_7o0vqDHTw&pp=ygUG7LGX67SH
12,"LLM이 만드는 엔터프라이즈 AI 챗봇 혁신 [세미남446@토크아이티, 전상호 지사장 / 코어에이아이]",https://www.youtube.com/watch?v=IKej-Zwqr3M&pp=ygUG7LGX67SH
13,'맞춤형 AI 챗봇' 장터 개막…아이디어 벌써 300만 건 / SBS 8뉴스,https://www.youtube.com/watch?v=-I60YjF3F7I&pp=ygUG7LGX67SH
14,"AI 챗봇, 이젠 이런 거까지 가능합니다 (IT커뮤니케이션연구소 김덕진 소장, 유메타랩 서승완 대표)",https://www.youtube.com/watch?v=BqLTPxWC0FE&pp=ygUG7LGX67SH
15,"안녕...👋 AI 챗봇 '이루다' 서비스 중단, 이전에도 똑같은 일 있었다 / 스브스뉴스",https://www.youtube.com/watch?v=pvSMMv9UhX8&pp=ygUG7LGX67SH
16,"인공지능(AI) 시대, 챗봇(chatbot)이란?",https://www.youtube.com/watch?v=inNufx7u-f8&pp=ygUG7LGX67SH
17,"생성형AI 챗봇 장터 나왔다…그림 그리고, 산책코스 추천하고 [MBN 뉴스7]",https://www.youtube.com/watch?v=yT7L4SSxeWA&pp=ygUG7LGX67SH
18,"텍스트 인식, 번역, 대화까지 가능한 ‘카카오’ AI 챗봇, 일주일 만에 ‘10만 명’ 돌풍 / 14F",https://www.youtube.com/watch?v=mDEQxWRPliU&pp=ygUG7LGX67SH
